Frequency [MHz],|S0-2| [-],|S1-2| [-],|S2-2| [-],|S3-2| [-],Arg(S0-2) [rad],Arg(S1-2) [rad],Arg(S2-2) [rad],Arg(S3-2) [rad],Delay 2>0 [s],Delay 2>1 [s],Delay 2>2 [s],Delay 2>3 [s],|Z2| [Ohm],Arg(Z2) [rad]
2.263400e+03, 5.210962e-02, 4.352352e-02, 1.385484e-01, 8.563278e-01, 1.406806e+00, -1.210423e+00, -1.744937e+00, -2.497952e-01, 7.506834e-10, 4.798932e-10, 6.616148e-10, 4.597129e-10, 4.769765e+01, -2.713825e-01
2.267200e+03, 5.281651e-02, 4.376265e-02, 1.376250e-01, 8.564111e-01, 1.388883e+00, -1.221881e+00, -1.760733e+00, -2.607714e-01, 7.446913e-10, 4.829346e-10, 6.652764e-10, 4.598103e-10, 4.751181e+01, -2.688482e-01
2.271000e+03, 5.352090e-02, 4.400218e-02, 1.366901e-01, 8.564940e-01, 1.371103e+00, -1.233412e+00, -1.776618e+00, -2.717499e-01, 7.388764e-10, 4.859730e-10, 6.690836e-10, 4.599636e-10, 4.732893e+01, -2.662316e-01
2.274800e+03, 5.422246e-02, 4.424198e-02, 1.357432e-01, 8.565768e-01, 1.353461e+00, -1.245015e+00, -1.792593e+00, -2.827320e-01, 7.335195e-10, 4.889564e-10, 6.730194e-10, 4.600180e-10, 4.714906e+01, -2.635324e-01
2.278600e+03, 5.492101e-02, 4.448209e-02, 1.347841e-01, 8.566596e-01, 1.335947e+00, -1.256690e+00, -1.808662e+00, -2.937155e-01, 7.282983e-10, 4.918331e-10, 6.771584e-10, 4.601131e-10, 4.697226e+01, -2.607505e-01
2.282400e+03, 5.561651e-02, 4.472231e-02, 1.338125e-01, 8.567435e-01, 1.318559e+00, -1.268433e+00, -1.824830e+00, -3.047012e-01, 7.232487e-10, 4.947593e-10, 6.812264e-10, 4.602457e-10, 4.679858e+01, -2.578856e-01
2.286200e+03, 5.630870e-02, 4.496265e-02, 1.328299e-01, 8.568263e-01, 1.301290e+00, -1.280246e+00, -1.841095e+00, -3.156900e-01, 7.184957e-10, 4.975346e-10, 6.856155e-10, 4.603577e-10, 4.662810e+01, -2.549414e-01
2.290000e+03, 5.699748e-02, 4.520306e-02, 1.318350e-01, 8.569099e-01, 1.284135e+00, -1.292125e+00, -1.857465e+00, -3.266816e-01, 7.140310e-10, 5.003218e-10, 6.899569e-10, 4.604481e-10, 4.646086e+01, -2.519156e-01
2.293800e+03, 5.768272e-02, 4.544332e-02, 1.308294e-01, 8.569926e-01, 1.267087e+00, -1.304070e+00, -1.873938e+00, -3.376753e-01, 7.095973e-10, 5.031139e-10, 6.944857e-10, 4.605786e-10, 4.629693e+01, -2.488120e-01
2.297600e+03, 5.836411e-02, 4.568356e-02, 1.298126e-01, 8.570756e-01, 1.250145e+00, -1.316083e+00, -1.890520e+00, -3.486721e-01, 7.055409e-10, 5.057554e-10, 6.991434e-10, 4.606555e-10, 4.613635e+01, -2.456303e-01
2.301400e+03, 5.904176e-02, 4.592362e-02, 1.287852e-01, 8.571593e-01, 1.233299e+00, -1.328158e+00, -1.907212e+00, -3.596708e-01, 7.015417e-10, 5.084573e-10, 7.040086e-10, 4.607769e-10, 4.597918e+01, -2.423723e-01
2.305200e+03, 5.971525e-02, 4.616340e-02, 1.277468e-01, 8.572414e-01, 1.216549e+00, -1.340298e+00, -1.924021e+00, -3.706723e-01, 6.977765e-10, 5.109820e-10, 7.089819e-10, 4.608565e-10, 4.582547e+01, -2.390376e-01
2.309000e+03, 6.038463e-02, 4.640296e-02, 1.266980e-01, 8.573246e-01, 1.199889e+00, -1.352499e+00, -1.940949e+00, -3.816758e-01, 6.940687e-10, 5.136054e-10, 7.140293e-10, 4.609823e-10, 4.567528e+01, -2.356282e-01
