Frequency [MHz],|S0-0| [-],|S1-0| [-],|S2-0| [-],|S3-0| [-],Arg(S0-0) [rad],Arg(S1-0) [rad],Arg(S2-0) [rad],Arg(S3-0) [rad],Delay 0>0 [s],Delay 0>1 [s],Delay 0>2 [s],Delay 0>3 [s],|Z0| [Ohm],Arg(Z0) [rad]
2.000000e+02, 7.548698e-02, 8.611627e-01, 3.333563e-02, 4.545211e-03, 3.237777e-01, -5.830409e-01, 1.084974e+00, -1.500421e+00, -1.299597e-10, 4.626202e-10, 6.129360e-10, 7.439531e-10, 5.770329e+01, 4.827015e-02
2.038000e+02, 7.601722e-02, 8.610743e-01, 3.366028e-02, 4.627103e-03, 3.268806e-01, -5.940864e-01, 1.070339e+00, -1.518184e+00, -1.240387e-10, 4.625182e-10, 6.157545e-10, 7.384250e-10, 5.775269e+01, 4.906113e-02
2.076000e+02, 7.655628e-02, 8.609844e-01, 3.397933e-02, 4.708471e-03, 3.298422e-01, -6.051296e-01, 1.055637e+00, -1.535814e+00, -1.180466e-10, 4.624585e-10, 6.182694e-10, 7.330859e-10, 5.780331e+01, 4.984325e-02
2.114000e+02, 7.710399e-02, 8.608951e-01, 3.429298e-02, 4.789332e-03, 3.326607e-01, -6.161713e-01, 1.040876e+00, -1.553318e+00, -1.119547e-10, 4.623183e-10, 6.201758e-10, 7.279056e-10, 5.785514e+01, 5.061590e-02
2.152000e+02, 7.766034e-02, 8.608068e-01, 3.460131e-02, 4.869670e-03, 3.353337e-01, -6.272096e-01, 1.026068e+00, -1.570697e+00, -1.058405e-10, 4.622518e-10, 6.218446e-10, 7.228789e-10, 5.790822e+01, 5.137849e-02
2.190000e+02, 7.822498e-02, 8.607173e-01, 3.490463e-02, 4.949479e-03, 3.378608e-01, -6.382464e-01, 1.011221e+00, -1.587957e+00, -9.975739e-11, 4.621167e-10, 6.229002e-10, 7.179948e-10, 5.796253e+01, 5.213041e-02
2.228000e+02, 7.879789e-02, 8.606282e-01, 3.520282e-02, 5.028758e-03, 3.402426e-01, -6.492799e-01, 9.963485e-01, -1.605100e+00, -9.357667e-11, 4.620670e-10, 6.239042e-10, 7.132415e-10, 5.801808e+01, 5.287147e-02
2.266000e+02, 7.937887e-02, 8.605386e-01, 3.549610e-02, 5.107508e-03, 3.424768e-01, -6.603123e-01, 9.814521e-01, -1.622129e+00, -8.742203e-11, 4.619454e-10, 6.243964e-10, 7.086244e-10, 5.807488e+01, 5.360087e-02
2.304000e+02, 7.996768e-02, 8.604502e-01, 3.578458e-02, 5.185714e-03, 3.445641e-01, -6.713418e-01, 9.665440e-01, -1.639048e+00, -8.123061e-11, 4.618710e-10, 6.246907e-10, 7.041200e-10, 5.813292e+01, 5.431821e-02
2.342000e+02, 8.056416e-02, 8.603616e-01, 3.606812e-02, 5.263381e-03, 3.465036e-01, -6.823694e-01, 9.516288e-01, -1.655860e+00, -7.512217e-11, 4.618221e-10, 6.246276e-10, 6.997291e-10, 5.819219e+01, 5.502290e-02
2.380000e+02, 8.116812e-02, 8.602734e-01, 3.634695e-02, 5.340502e-03, 3.482972e-01, -6.933960e-01, 9.367151e-01, -1.672567e+00, -6.887065e-11, 4.616544e-10, 6.244145e-10, 6.954418e-10, 5.825270e+01, 5.571472e-02
2.418000e+02, 8.177943e-02, 8.601851e-01, 3.662105e-02, 5.417079e-03, 3.499416e-01, -7.044185e-01, 9.218065e-01, -1.689171e+00, -6.272738e-11, 4.616165e-10, 6.241516e-10, 6.912458e-10, 5.831447e+01, 5.639269e-02
2.456000e+02, 8.239780e-02, 8.600980e-01, 3.689043e-02, 5.493111e-03, 3.514393e-01, -7.154401e-01, 9.069042e-01, -1.705675e+00, -5.656354e-11, 4.615600e-10, 6.233679e-10, 6.871721e-10, 5.837746e+01, 5.705661e-02
2.494000e+02, 8.302309e-02, 8.600107e-01, 3.715513e-02, 5.568584e-03, 3.527898e-01, -7.264603e-01, 8.920206e-01, -1.722082e+00, -5.043010e-11, 4.614583e-10, 6.227236e-10, 6.831552e-10, 5.844169e+01, 5.770586e-02
2.532000e+02, 8.365518e-02, 8.599239e-01, 3.741527e-02, 5.643514e-03, 3.539939e-01, -7.374781e-01, 8.771524e-01, -1.738393e+00, -4.427075e-11, 4.613763e-10, 6.218006e-10, 6.792061e-10, 5.850716e+01, 5.834006e-02
2.570000e+02, 8.429370e-02, 8.598369e-01, 3.767074e-02, 5.717895e-03, 3.550509e-01, -7.484940e-01, 8.623062e-01, -1.754610e+00, -3.814788e-11, 4.612835e-10, 6.207071e-10, 6.754465e-10, 5.857386e+01, 5.895840e-02
2.608000e+02, 8.493855e-02, 8.597510e-01, 3.792167e-02, 5.791711e-03, 3.559617e-01, -7.595077e-01, 8.474862e-01, -1.770737e+00, -3.209746e-11, 4.612788e-10, 6.195908e-10, 6.716523e-10, 5.864178e+01, 5.956048e-02
